fecha,expediente,razon_social,area_m2,numero_pisos,nivel_riesgo,vigencia,giro_alquiler,giro_bar,giro_botica,giro_cafeteria,giro_comercio,giro_deportivo,giro_distribuidora,giro_educacion,giro_elaboracion,giro_evento,giro_farmacia,giro_ferreteria,giro_gimnasio,giro_hospedaje,giro_hotel,giro_industrial,giro_licoreria,giro_mineria,giro_panaderia,giro_poligono,giro_quimicos,giro_restaurante,giro_salud,giro_servicios,giro_transporte,horario_atencion_24 horas,horario_atencion_horario especial,horario_atencion_mañana,horario_atencion_noche,horario_atencion_tarde,nivel_riesgo_encoded
11/01/2023,000189-2023-01,REENCAUCHADORA ORTEGA SAC,1100,2,muy alto,18/01/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
10/01/2023,000099-2023-01,BOTICA HUANCHACO PERU,20,1,medio,20/01/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
12/01/2023,000253-2023-01,MINI MARKET EL CHE,23,1,medio,20/01/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
13/01/2023,000322-2023-01,ACTIVIDAD BAILABLE,900,1,alto,22/01/2023,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
12/01/2023,000280-2023-01,BODEGA MELANY´S,22,1,medio,26/01/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
18/01/2023,000722-2023-01,SERYI MARKET,20,1,medio,26/01/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
13/01/2023,000327-2023-01,MAR BELLA,28,1,medio,26/01/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
12/01/2023,000266-2023-01,PUNTO MARINO,31,1,medio,26/01/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
16/01/2023,000545-2023-01,VILLA EMILIANO SPORT,58,1,alto,27/01/2025,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
25/01/2023,001021-2023-01,CORPORACION ANDERSON DAVID SAC,60,2,muy alto,30/01/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
13/01/2023,000348-2023-01,RESTAURANTE VIÑA DEL MAR,20,1,medio,30/01/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1
13/01/2023,000417-2023-01,LUCHO DEL MAR,24,1,medio,31/01/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
13/01/2023,000470-2023-01,RESTAURANTE EL BOQUERON,20,1,medio,07/02/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
17/01/2023,000584-2023-01,JESUS,21,1,medio,30/01/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
17/01/2023,000587-2023-01,CASA HOGAR,35,1,medio,26/01/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
18/01/2023,000686-2023-01,HOSTAL LA RIVERA,22,1,medio,31/01/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
18/01/2023,000688-2023-01,DE LA OLA,28,1,medio,01/02/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
18/01/2023,000709-2023-01,MY FRIEND,13,1,medio,02/02/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
19/01/2023,000720-2023-01,CHOCOLATE CAFÉ,22,1,medio,30/01/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
19/01/2023,000773-2023-01,PSHUN LOCAL EVENTOS,900,1,muy alto,20/01/2025,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
20/01/2023,000848-2023-01,BEACH BURGER GRILL,22,1,medio,07/02/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
24/01/2023,000973-2023-01,COLEGIO DE CIENCIAS PITAGORAS CLASS,56,2,alto,27/01/2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
25/01/2023,001001-2023-01,RESTAURANTE FUSION HUANCHAQUERA,21,1,medio,31/01/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1
25/01/2023,001002-2023-01,ENCUENTROS,41,1,medio,01/02/2025,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
25/01/2023,001022-2023-01,CORPORACION MINAS EL ROSAL EIRL,63,2,muy alto,30/01/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2
25/01/2023,001065-2023-01,MARKET PANADERIA DON JOSE,20,1,medio,31/01/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
27/01/2023,001135-2023-01,BAZAR PERFUMERIA FARMAC EXPRESS,21,1,medio,31/01/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
30/01/2023,001201-2023-01,RESTAURANTE MIXTURA MARICIELO,20,1,medio,08/02/2023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
01/02/2023,001387-2023-01,BODEGA SNACKS BAR CHERRYS,30,1,medio,08/02/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
